Factory Name,Factory Type,Product Type,"Nike, Inc. Brand(s)",Supplier Group,City,State,Postal Code,Country/Region,Region,Total Workers
HONWAYS APPAREL SHUYANG LIMITED,FINISHED GOODS,APPAREL,NIKE,HONSIN,JIANGSU PROVINCE,JIANGSU,223600,China,N ASIA,1243
"HOOSIER MANUFACTURING, COMPANIA LIMITADA",FINISHED GOODS,APPAREL,NIKE,INDIANA KNITWEAR,GUATEMALA,GUATEMALA,1012,Guatemala,AMERICAS,392
HUA FENG (CHINA),FINISHED GOODS - COMPONENTS,FOOTWEAR,NIKE,HUA FENG TEXTILE,PUTIAN,FUJIAN,0,China,N ASIA,0
HUAFENG HAPTIC,FINISHED GOODS - COMPONENTS,FOOTWEAR,NIKE,HUA FENG TEXTILE,PUTIAN,FUJIAN,351164,China,N ASIA,92
HUAIAN YUANGTONG HEADWEAR MFG CO LTD,FINISHED GOODS,APPAREL,NIKE,ASIAN SOURCING HEADWEAR,HUAI AN,JIANGSU,223400,China,N ASIA,786
HUBEI TOP EAGLE GARMENT LTD.,FINISHED GOODS,APPAREL,NIKE,NICE APPAREL,SONGZI HUBEI,HUBEI,434200,China,N ASIA,731
"HUIZHOU YANGMING INDUSTRIAL CO., LTD.",FINISHED GOODS,EQUIPMENT,Converse,NO GROUP (EQ),HUIZHOU,GUANGDONG,516001,China,N ASIA,78
HUNG LONG GARMENT AND SERVICE JOINT STOCK COMPANY,FINISHED GOODS,APPAREL,NIKE,NO GROUP (AP),HUNG YEN,HUNG YæN,70000,Vietnam,SE ASIA,2570
IDEA STAMPA S.R.L. UNIPERSONALE,FINISHED GOODS,APPAREL,NIKE,NO GROUP (AP),MEOLO,VENEZIA,30020,Italy,EMEA,29
IMPRESSIONS CASEE INC.,FINISHED GOODS,APPAREL,NIKE,NO GROUP (AP),MONTREAL,QUEBEC,H2N 2B7,Canada,AMERICAS,4
INJEXTECH INC.,FINISHED GOODS,EQUIPMENT,NIKE,NO GROUP (EQ),TAINAN,,71755,Taiwan,N ASIA,178
INOVA TEXTILES S.A. DE C.V.,FINISHED GOODS,APPAREL,Converse,NO GROUP (AP),JILOTEPEC,MƒXICO,54240,Mexico,AMERICAS,366
INTERLOOP LIMITED,FINISHED GOODS,EQUIPMENT,NIKE,INTERLOOP,FAISALABAD,PUNJAB,37660,Pakistan,S ASIA,8035
IRUNA COMUNICACION TEXTIL - SERISUR,FINISHED GOODS,APPAREL,NIKE,IRUNA,CHAUCHINA-GRANADA,ANDALUCêA,18330,Spain,EMEA,14
ITW SPORTS BRANDING ENPING,FINISHED GOODS - COMPONENTS,APPAREL,NIKE,ITW GRAPHICS ASIA,ENPING,GUANGDONG,,China,N ASIA,164
JADE APPAREL INDUSTRIES,FINISHED GOODS,APPAREL,NIKE,YESIM,ALEXANDRIA / BORG EL ARAB,AI ISKANDARIYAH,21933,Egypt,EMEA,577
JADE APPAREL INDUSTRIES SAE,FINISHED GOODS,APPAREL,NIKE,YESIM,ALEXANDRIA,BENDER,21934,Moldova,EMEA,1191
JADE LONG JOHN,MATERIALS,MATERIALS,NIKE,GOLD LONG JOHN,CHANGHUA,SHE-TOU SHANG,510,Taiwan,N ASIA,
JADE TEXTILE EGYPT,FINISHED GOODS,APPAREL,NIKE,YESIM,10TH OF RAMADAN CITY,ASH SHARQIYAH,0,Egypt,EMEA,2540
JADE TEXTILE ISMAILIA S.A.E,FINISHED GOODS - COMPONENTS,APPAREL,NIKE,YESIM,ISMAILIA,AI ISMA ILIYAH,41611,Egypt,EMEA,1133
"JAPAN POLYMARK CO., LTD",FINISHED GOODS,EQUIPMENT,NIKE,NO SUPPLIER GROUP,FUKUI-CITY FUKUI,FUKUI,910-3607,Japan,N ASIA,152
JASAN SOCKS,FINISHED GOODS,APPAREL,NIKE,NO GROUP (AP),VIETNAM,HAI PHONG,0,Vietnam,SE ASIA,2895
"JIANGSU ASIAN SOURCING HEADWEAR MFG. CO., LTD",FINISHED GOODS,APPAREL,NIKE,ASIAN SOURCING HEADWEAR,HUAI AN,JIANGSU,223005,China,N ASIA,1130
"JIANGSU HONGBAO SPORTING GOODS CO., LTD.",FINISHED GOODS,EQUIPMENT,NIKE,YEGIN,HUAIAN,JIANGSU,223400,China,N ASIA,382
"JIANGSU JINHUBAO GARMENT CO., LTD",FINISHED GOODS,APPAREL,Converse,DƒCOR,YANGZHOU,JIANGSU,225106,China,N ASIA,192
"JIANGXI GUANGYOU SHOETOWN FOOTWEAR CO., LTD.",FINISHED GOODS,FOOTWEAR,NIKE,SHOETOWN,NANCHANG,JIANGXI,330201,China,N ASIA,2711
"JIANSHAN BENHUI PRINTING CO., LTD",FINISHED GOODS,APPAREL,NIKE,JIASHAN BENHUI,JIAXING,ZHEJIANG,314113,China,N ASIA,21
"JIAXING KANAAN BAG R&D CO.,LTD",FINISHED GOODS,EQUIPMENT,NIKE,KANAAN,JIAXIANG,ZHEJIANG,314002,China,N ASIA,134
"JIAXING QUANG VIET GARMENT CO., LTD.",FINISHED GOODS,APPAREL,NIKE,QUANG VIET,PING HU,ZHEJIANG,314211,China,N ASIA,1969
"JINING YONGJIN SHOES CO., LTD.",FINISHED GOODS - COMPONENTS,FOOTWEAR,NIKE,TAEKWANG,JI NING CITY,SHANDONG,272500,China,N ASIA,1420
JK GARMENTS PVT LTD,FINISHED GOODS,APPAREL,NIKE,HONSIN,KURUNEGALA,KURUNEGALA,60500,Sri Lanka,S ASIA,1070
JSI,FINISHED GOODS - COMPONENTS,FOOTWEAR,NIKE,TAEKWANG,BUSAN,,600-011,South Korea,N ASIA,640
JSI VINA CORPORATION,MATERIALS,MATERIALS,NIKE,TAEKWANG,Gñ D?U,TAY NINH,0,Vietnam,SE ASIA,
KAGAWA FACTORY,FINISHED GOODS,EQUIPMENT,NIKE,LES GANT,KAGAWA,KAGAWA,761-0613,Japan,N ASIA,68
"KIM'S EMBROIDERY, INC.",FINISHED GOODS,APPAREL,NIKE,KIMS EMBROIDERY,PORTLAND,OREGON,97223,United States of America,AMERICAS,7
"KING RAY YENG INDUSTRIAL CO., LTD",FINISHED GOODS,EQUIPMENT,NIKE,NO GROUP (EQ),CHANGHWA,CHANGHUA,50071,Taiwan,N ASIA,225
"KITAI CO., LTD",FINISHED GOODS,APPAREL,NIKE,KITAI,KASHIBA,NARA,639-0241,Japan,N ASIA,53
"KKN APPAREL CO., LTD",FINISHED GOODS,APPAREL,NIKE,NICE APPAREL,NEANG KOK VILLAGE,KAOH KONG,0,Cambodia,SE ASIA,7284
"K-L MFG. CO., INC.",FINISHED GOODS,APPAREL,NIKE,K & L MANUFACTURING,SPOKANE,WASHINGTON,99207,United States of America,AMERICAS,124
"KUNSHAN SABRINA CLOTHES MAKING CO., LTD.",FINISHED GOODS,APPAREL,NIKE,SABRINA,KUNSHAN,JIANGSU,215331,China,N ASIA,946
KUO YUEN (CHINA),MATERIALS,MATERIALS,NIKE,KUO YUEN,DONGGUAN,GUANGDONG,523000,China,N ASIA,
KUO YUEN (VIETNAM),MATERIALS,MATERIALS,NIKE,KUO YUEN,NHON TRACH DISTRICT,DONG NAI,0,Vietnam,SE ASIA,
"KWAN TAT VIETNAM CO., LTD",FINISHED GOODS,APPAREL,NIKE,TUNG MUNG,BíNH D??NG,BíNH DUONG,75211,Vietnam,SE ASIA,90
LATITUDES,FINISHED GOODS,APPAREL,NIKE,TEGRA,PORTLAND,OREGON,97211,United States of America,AMERICAS,60
LEADING STAR VIETNAM GARMENT COMPANY LIMITED,FINISHED GOODS,APPAREL,"NIKE, Converse",LEADING STAR,THUAN AN CITY,BíNH DUONG,820000,Vietnam,SE ASIA,2837
LEAGUE OPTICAL CENTER,FINISHED GOODS,EQUIPMENT,NIKE,NO GROUP (AP),ZHONGSHANÊ,GUANGDONG,528463,China,N ASIA,42
"LEOTEX TEXTILE, S.A. DE C.V.",FINISHED GOODS,APPAREL,NIKE,JOWETT,CD. OBREGON,SONORA,85097,Mexico,AMERICAS,434
LES VETEMENTS SP APPAREL INC.,FINISHED GOODS,APPAREL,NIKE,SP APPAREL,GRANBY,QUEBEC,J2J 2B8,Canada,AMERICAS,117
"LI CHENG ENTERPRISE CO.,LTD",FINISHED GOODS - COMPONENTS,FOOTWEAR,NIKE,NO GROUP (FW),YUN-LIN HSIEN,,64645,Taiwan,N ASIA,492
LIM GROUP SRL,FINISHED GOODS,FOOTWEAR,Converse,LIM,MONTAGNANA,VENETO,,Italy,EMEA,26
LION BROTHERS FAR EAST,FINISHED GOODS - COMPONENTS,APPAREL,NIKE,LION BROTHERS,BAOAN,GUANGDONG,518125,China,N ASIA,420
LOGO CAPITAL,FINISHED GOODS,APPAREL,NIKE,NO GROUP (AP),ALEXANDRIA,VIRGINIA,22304,United States of America,AMERICAS,24
LONG AN EXPORT GARMENT JOINT STOCK COMPANY LASGE,FINISHED GOODS,APPAREL,NIKE,UNITED SWEETHEART,TAN AN,LONG AN,84-72,Vietnam,SE ASIA,915
LONG CHUAN SIMONA FOOTWEAR CO. LTD,FINISHED GOODS,FOOTWEAR,NIKE,STELLA,HEYUAN,GUANGDONG,517300,China,N ASIA,5366
"LONG FA SHOES INDUSTRIAL HUIZHOU CO., LTD.",FINISHED GOODS,FOOTWEAR,NIKE,DEAN SHOES,HUIZHOU,GUANGDONG,516121,China,N ASIA,8438
"LONG YUE SHOES INDUSTRIAL HUI ZHOU CO.,LTD.",FINISHED GOODS - COMPONENTS,FOOTWEAR,NIKE,DEAN SHOES,HUIZHOU,GUANGDONG,516000,China,N ASIA,3930
"LONGCHUAN SOMONA FOOTWEAR CO.,LTD WUHUA BRANCH",FINISHED GOODS - COMPONENTS,FOOTWEAR,NIKE,STELLA,MEIZHOU,GUANGDONG,514400,China,N ASIA,882
LONGWAY VIETNAM COMPANY LIMITED,FINISHED GOODS,EQUIPMENT,NIKE,LONGWAY,DUC HOA,LONG AN,863900,Vietnam,SE ASIA,1100
LOTUS FOOTWEAR ENTERPRISES LIMITED UNIT-2,FINISHED GOODS,FOOTWEAR,NIKE,FENG TAY,NEAR KANCHIPURAM,TAMIL NADU,631701,India,S ASIA,5930
LOTUS FOOTWEAR ENTERPRISES LTD. (INDIA BRANCH) - UNIT 1,FINISHED GOODS,FOOTWEAR,NIKE,FENG TAY,VEMBAKKAM TALUK,TAMIL NADU,PIN 631701,India,S ASIA,3255
LYNKA SP. Z O.O.,FINISHED GOODS,APPAREL,NIKE,LYNKA,SKAWINA,MALOPOLSKIE,32-050,Poland,EMEA,329
M/S STYLE TEXTILE (PVT.) LIMITED (SUNDER) - UNIT VI,FINISHED GOODS,APPAREL,NIKE,STYLE TEXTILE,LAHORE,PUNJAB,54700,Pakistan,S ASIA,5608
MAJESTIC ATHLETIC,FINISHED GOODS,APPAREL,NIKE,NO GROUP (AP),EASTON,PENNSYLVANIA,18045,United States of America,AMERICAS,430
MANUFACTURAS KALTEX,FINISHED GOODS,APPAREL,Converse,NO GROUP (AP),SANTIAGO DE QUERƒTARO,MƒXICO,76800,Mexico,AMERICAS,1365
"MANUFACTURE OF ARTISTIC BELT & ACCESSORIES CO., LTD.",FINISHED GOODS,EQUIPMENT,NIKE,NO GROUP (EQ),BEN CAT TOWN,BíNH DUONG,82575,Vietnam,SE ASIA,60
MAPLE COMPANY LIMITED,FINISHED GOODS,APPAREL,NIKE,TAI WAH,HAI PHONG CITY,HAI PHONG,4000,Vietnam,SE ASIA,894
MARCHON ITALIA SRL A SU,FINISHED GOODS,EQUIPMENT,NIKE,NO GROUP (EQ),ALPAGO,BELLUNO,32016,Italy,EMEA,301
MAS KREEDA MIHINTALE,FINISHED GOODS,APPAREL,NIKE,MAS HOLDINGS,MIHINTALE,ANURADHAPURA,50300,Sri Lanka,S ASIA,1134
MAS ACTIVE PVT LTD - CONTOURLINE DIVISION,FINISHED GOODS,APPAREL,NIKE,MAS HOLDINGS,NUGEGODA,KANDY,0,Sri Lanka,S ASIA,1660
MAS ACTIVE PVT. LTD - SYNERGY,FINISHED GOODS,APPAREL,NIKE,MAS HOLDINGS,AVISSAWELLA,COLOMBO,10700,Sri Lanka,S ASIA,2159
MAS ACTIVE TRADING PVT LTD - LINEA INTIMO,FINISHED GOODS,APPAREL,NIKE,MAS HOLDINGS,COLOMBO,COLOMBO,42000,Sri Lanka,S ASIA,680
MAS ACTIVE TRADING PVT LTD - VAANAVIL DIVISION,FINISHED GOODS,APPAREL,NIKE,MAS HOLDINGS,COLOMBO,COLOMBO,42000,Sri Lanka,S ASIA,1761
MAS FABRICS (PVT.) LTD - MATRIX,FINISHED GOODS - COMPONENTS,FOOTWEAR,NIKE,MAS HOLDINGS,THULHIRIYA,KURUNEGALA,71610,Sri Lanka,S ASIA,2012
MAS FABRICS PVT LTD - METHLIYA,FINISHED GOODS,APPAREL,NIKE,MAS HOLDINGS,KEGALLE,,71000,Sri Lanka,S ASIA,2003
MATSUDA BABY SANGYO,FINISHED GOODS,EQUIPMENT,NIKE,NO GROUP (EQ),KASHIHARA,NARA,634-0817,Japan,N ASIA,23
MAXPORT LIMITED (VIET NAM) _ THAI BINH BRANCH ( MAXPORT 09),FINISHED GOODS,APPAREL,NIKE,MAXPORT,HANOI,THçI BíNH,410000,Vietnam,SE ASIA,2464
MAXPORT LIMITED VIET NAM _ NAM DINH BRANCH MAXPORT 06,FINISHED GOODS,APPAREL,NIKE,NO GROUP (AP),NAM DINH,NAM _NH,42000,Vietnam,SE ASIA,525
MAXPORT LIMITED VIET NAM NAM DINH BRANCH MAXPORT 05,FINISHED GOODS,APPAREL,NIKE,MAXPORT,NAM DINH,NAM _NH,42000,Vietnam,SE ASIA,1504
MAZEN (JIANG MEN)INDUSTRIES LIMITED,FINISHED GOODS,EQUIPMENT,Converse,MAZEN,JIANGMEN,GUANGDONG,529100,China,N ASIA,233
"MEN-CHUEN FIBRE INDUSTRY CO., LTD. (VIETNAM)",MATERIALS,MATERIALS,NIKE,MEN CHUEN,BIEN HOA,DONG NAI,NA,Vietnam,SE ASIA,
MILTEKS TEKSTIL SANAYI VE TICARET A S,FINISHED GOODS - COMPONENTS,APPAREL,NIKE,MILTEKS,ERKENEZ MAHALLESIÊ,ISTANBUL,34520,Turkey,EMEA,176
MILTEKS TEKSTIL SANAYI VE TICARET A.S. AJARA TEXTILE LTD,FINISHED GOODS,APPAREL,NIKE,MILTEKS,BATUMI,AJARIA,6000,Georgia,EMEA,608
"MINONE ENTERPRISES CO., LTD.",FINISHED GOODS,EQUIPMENT,NIKE,NO GROUP (EQ),NANGRONG,BURI RAM,31110,Thailand,SE ASIA,638
NAM DINH STELLA FOOTWEAR CO. LTD.,FINISHED GOODS,FOOTWEAR,NIKE,STELLA,NAM DINH,NAM _NH,420000,Vietnam,SE ASIA,8255
NAM THIEN COMPANY LIMITED,FINISHED GOODS,APPAREL,NIKE,SOUTH ISLAND,HO CHI MINH,HO CHI MINH,700000,Vietnam,SE ASIA,636
NAN YANG GARMENT,FINISHED GOODS,APPAREL,NIKE,NAN YANG,"LADYAO, NAKHONSAWAN",NAKHON SAWAN,60150,Thailand,SE ASIA,1421
"NAN YANG GARMENT CO., LTD. (NONGKHAM)",FINISHED GOODS,APPAREL,NIKE,NAN YANG,NONGKHAM,BANGKOK,10160,Thailand,SE ASIA,988
"NAN YANG GARMENT CO., LTD. (WACHIRABARAMEE)",FINISHED GOODS,APPAREL,NIKE,NAN YANG,WACHIRABARAMEE,PHICHIT,66140,Thailand,SE ASIA,2608
"NAN YANG GARMENT CO.,LTD (SAMPRAN)",FINISHED GOODS,APPAREL,NIKE,NAN YANG,SAMPRAN,NAKHON PATHOM,73110,Thailand,SE ASIA,12711
NAN YANG KNITTING FACTORY,MATERIALS,MATERIALS,NIKE,NAN YANG,KRATUMBAN,BANGKOK METROPOLIS,74110,Thailand,SE ASIA,
NATIONAL EMBLEM WANG CHU EMBROIDERY CO.,FINISHED GOODS - COMPONENTS,APPAREL,NIKE,NATIONAL EMBLEM,NEW TAIPEI CITY,NEW TAIPEI,Zhonge District,Taiwan,N ASIA,13
NEW HOLLAND APPAREL DE NICARAGUA S A,FINISHED GOODS,APPAREL,NIKE,TEGRA,MANAGUA,MANAGUA,0,Nicaragua,AMERICAS,1813
NICE APPAREL COMPANY LIMITED,FINISHED GOODS,APPAREL,NIKE,NICE APPAREL,MUANG DISTRICT,NONTHABURI,11000,Thailand,SE ASIA,1224
NICE APPAREL COMPANY LIMITED BRANCH CHUMPHAE,FINISHED GOODS,APPAREL,NIKE,NICE APPAREL,CHUMPAE,BANGKOK,40130,Thailand,SE ASIA,4164
NINGBO BELL GARMENT INDUSTRIAL CO. LTD,FINISHED GOODS,APPAREL,NIKE,NO GROUP (AP),NINGBO,ZHEJIANG,315033,China,N ASIA,80
NINGBO EASTEX,FINISHED GOODS,APPAREL,NIKE,NO GROUP (AP),NINGBO,ZHEJIANG,32151,China,N ASIA,238
"NINGBO HUAYAO TEXTILE CO.,LTD",FINISHED GOODS,APPAREL,NIKE,NO GROUP (AP),NINGBO,ZHEJIANG,315800,China,N ASIA,894
"NINGBO MITSUBANA APPERAL CO., LTD",FINISHED GOODS,APPAREL,Converse,NINGBO MITSUBANA,NINGBO,ZHEJIANG,315207,China,N ASIA,69
NINGBO SHENZHOU KNITTING CO. LTD,FINISHED GOODS,APPAREL,NIKE,NINGBO,NINGBO,ZHEJIANG,315800,China,N ASIA,2890
NINGBO SHENZHOU KNITTING CO. LTD. -#6 GARMENT FACTORY,FINISHED GOODS,APPAREL,NIKE,NINGBO,NINGBO,ZHEJIANG,315800,China,N ASIA,2490
NINGBO SHENZHOU KNITTING CO. LTD. (PRINTING MILL & MC),FINISHED GOODS,APPAREL,NIKE,NINGBO,NINGBO,ZHEJIANG,315800,China,N ASIA,365
"NINGBO SHENZHOU KNITTING CO., LTD (NINGBO)",MATERIALS,MATERIALS,NIKE,NINGBO,NINGBO,ZHEJIANG,315800,China,N ASIA,
"NINGBO SHENZHOU KNITTING CO.,LTD #3 GARMENT FACTORY",FINISHED GOODS,APPAREL,NIKE,NINGBO,NINGBO,ZHEJIANG,315800,China,N ASIA,2506
NK APPAREL CO LTD,FINISHED GOODS,APPAREL,NIKE,NICE APPAREL,KHON KAEN,,40000,Thailand,SE ASIA,1146
NV APPAREL COMPANY LIMITED,FINISHED GOODS,APPAREL,NIKE,NICE APPAREL,AN GIANG,AN GIANG,880000,Vietnam,SE ASIA,2737
"NYG (VIETNAM) CO.,LTD",FINISHED GOODS,APPAREL,NIKE,NAN YANG,LONG KHANHÊ,_NG NAI,810000,Vietnam,SE ASIA,1455
"OLIVE APPAREL CAMBODIA CO., LTD",FINISHED GOODS,APPAREL,NIKE,TAI WAH,PHNOM PENH,PHNOM PENH,12405,Cambodia,SE ASIA,2886
"OPTECH CO., LTD.",FINISHED GOODS,APPAREL,NIKE,NO GROUP (AP),SAMUTSAKORN,SAMUT SAKHON,74110,Thailand,SE ASIA,82
"OREGON SCREEN IMPRESSIONS, INC.",FINISHED GOODS,APPAREL,NIKE,OREGON SCREEN IMPRESSIONS,PORTLAND,OREGON,97232,United States of America,AMERICAS,130
ORIENTAL GARMENT AN GIANG CO LTD,FINISHED GOODS,APPAREL,NIKE,NO GROUP (AP),AN GIANG,AN GIANG,,Vietnam,SE ASIA,571
"ORIENTAL GARMENT CO., LTD Ð NONGBUADANG",FINISHED GOODS,APPAREL,NIKE,NO GROUP (AP),NONGBUADANG,,36210,Thailand,SE ASIA,220
ORIGINAL APPAREL PRIVATE LIMITED,FINISHED GOODS,APPAREL,NIKE,MAS HOLDINGS,WEERAWILA,HAMBANTOTA,82632,Sri Lanka,S ASIA,580
"PACIFIC ATHLETIC WEAR, INC.",FINISHED GOODS,APPAREL,NIKE,PACIFIC ATHLETIC WEAR,GARDEN GROVE,CALIFORNIA,92841,United States of America,AMERICAS,103
"PAPILLION TEXTILE (CAMBODIA) CO., LTD",FINISHED GOODS,APPAREL,NIKE,TUNTEX,PHNOM PENH,PHNOM PENH,12412,Cambodia,SE ASIA,2115
"PARAMOUNT APPAREL INTERNATIONAL, INC.",FINISHED GOODS,APPAREL,NIKE,PARAMOUNT,BOURBON,MISSOURI,65441,United States of America,AMERICAS,403
"PARAMOUNT APPAREL INT'L, INC. WINONA MO",FINISHED GOODS,APPAREL,NIKE,NO GROUP (AP),WINONA,MISSOURI,65588,United States of America,AMERICAS,87
PETTENATI,FINISHED GOODS,APPAREL,NIKE,PETTENATI,CAXIAS DO SUL,RIO GRANDE DO SUL,95010.55,Brazil,AMERICAS,421
PETTENATI CENTRO AMERICA SA DE CV,MATERIALS,MATERIALS,NIKE,PETTENATI,COATEPEQUE,SAN SALVADOR,N/A,El Salvador,AMERICAS,
"PILOT KNIT SPORT WEAR CAMBODIA CO., LTD.",FINISHED GOODS,APPAREL,NIKE,NO GROUP (AP),PHNOM PENH CITY,KAMPONG CHAAM,12100,Cambodia,SE ASIA,520
"PILOTKNIT SPORT WEAR CO.,LTD.",FINISHED GOODS,APPAREL,NIKE,NO GROUP (AP),MUANG,SAMUT SAKHON,74000,Thailand,SE ASIA,575
PINE TREE COMPANY FOR TEXTILE MANUFACTURING PSC,FINISHED GOODS,APPAREL,NIKE,TAI WAH,AMMAN,AMMAN,110109,Jordan,EMEA,2375
"PINGHU LIPAI BAGS AND LUGGAGE CO., LTD.",FINISHED GOODS,EQUIPMENT,NIKE,NO GROUP (EQ),PINGHU,ZHEJIANG,314202,China,N ASIA,174
PINGXIANG CITY GUANGXUAN FOOTWEAR CO. LTD.,FINISHED GOODS - COMPONENTS,FOOTWEAR,NIKE,SHOETOWN,PINGXIANG,JIANGXI,337000,China,N ASIA,1401
"PLV CO., LTD",FINISHED GOODS,EQUIPMENT,NIKE,NO GROUP (EQ),TRANG BANG,TåY NINH,84000,Vietnam,SE ASIA,183
PMI JOINEASE PLASTIC & METAL PRODUCTS,FINISHED GOODS,EQUIPMENT,NIKE,NO GROUP (EQ),HUI ZHOU,GUANGDONG,516131,China,N ASIA,1006
PONY LEATHER,MATERIALS,MATERIALS,NIKE,PONY LEATHER,CHANG HUA,T'AI-WAN,40876,Taiwan,N ASIA,
POU CHEN CORPORATION,FINISHED GOODS,FOOTWEAR,NIKE,POU CHEN,CHANGHUA,CHANGHUA,506,Taiwan,N ASIA,2150
POU CHEN VIETNAM ENTERPRISE LTD.,FINISHED GOODS,FOOTWEAR,NIKE,POU CHEN,BIEN HOA CITY,_NG NAI,76123,Vietnam,SE ASIA,17347
POVOLO SRL,FINISHED GOODS,APPAREL,NIKE,POVOLO,GALLARATE,VARESE,21013,Italy,EMEA,23
POWER WIN PLASTIC PRODUCTS S.Z. COMPANY LIMITED,FINISHED GOODS,EQUIPMENT,NIKE,POWER WIN,SHENZEN,GUANGDONG,,China,N ASIA,142
PPSEC COMPANY LIMITED,FINISHED GOODS - COMPONENTS,APPAREL,NIKE,SEC ACCESSORIES,PHNOM PENH,PHNOM PENH,0,Cambodia,SE ASIA,0
PRAEGEAR VIET NAM COMPANY LIMITED,FINISHED GOODS,EQUIPMENT,NIKE,NO GROUP (EQ),DUC HOA DISTRICT,LONG AN,82000,Vietnam,SE ASIA,1508
PREMIER OPTICAL SHENZHEN LIMITED COMPNAY,FINISHED GOODS,EQUIPMENT,Converse,NO GROUP (EQ),SHENZHEN,GUANGDONG,510000,China,N ASIA,146
PRESTIGE GARMENT CO. LTD.,FINISHED GOODS,APPAREL,NIKE,NO GROUP (AP),KANDAL PROVINCE,KANDAAL,8371,Cambodia,SE ASIA,692
PRIME ASIA (CHINA),MATERIALS,MATERIALS,"NIKE, Converse",PRIME ASIA,DONGGUAN,GUANGDONG,,China,N ASIA,
PRIME ASIA (VIETNAM),MATERIALS,MATERIALS,NIKE,PRIME ASIA,TAN THANH,DONG NAI,N/A,Vietnam,SE ASIA,
PRO KINGTEX VIETNAM COMPANY LIMITED,FINISHED GOODS,APPAREL,NIKE,EAGLE NICE,HO CHI MINH CITY,HO CHI MINH,700000,Vietnam,SE ASIA,2505
"PROMAX TEXTILE CO., LTD. -6TH ROAD",MATERIALS,MATERIALS,NIKE,"PROMAX TEXTILE CO., LTD.",NHON TRACH DISTRICT,DONG NAI,737,Vietnam,SE ASIA,
PT ADIS DIMENSION FOOTWEAR,FINISHED GOODS,FOOTWEAR,NIKE,SHOETOWN,TANGERANG,BANTEN,15610,Indonesia,S ASIA,7410
PT CHANGSHIN REKSAJAYA,FINISHED GOODS - COMPONENTS,FOOTWEAR,NIKE,CHANGSHIN,GARUT,JAWA BARAT,44152,Indonesia,S ASIA,7949
PT DAYUP INDO,FINISHED GOODS,EQUIPMENT,NIKE,DAYUP,JAKARTA,JAKARTA RAYA,14140,Indonesia,S ASIA,1403
PT DONG A DECAL,FINISHED GOODS,APPAREL,NIKE,NO GROUP (AP),,JAKARTA RAYA,14140,Indonesia,S ASIA,384
PT EAGLE NICE INDONESIA,FINISHED GOODS,APPAREL,NIKE,EAGLE NICE,KABUPATEN SERANG,BANTEN,42186,Indonesia,S ASIA,2778
PT KMK GLOBAL SPORTS / K1,FINISHED GOODS,FOOTWEAR,NIKE,KMK,TANGERANG,BANTEN,15710,Indonesia,S ASIA,13191
PT MAREL SUKSES PRATAMA,FINISHED GOODS,EQUIPMENT,Converse,NO GROUP (EQ),YOGYAKARTA,YOGYAKARTA,55285,Indonesia,S ASIA,186
PT MITRA GARINDO PERKASA,FINISHED GOODS,APPAREL,NIKE,NO GROUP (AP),BOGOR,,16964,Indonesia,S ASIA,515
PT MORICH INDO FASHION,FINISHED GOODS,APPAREL,NIKE,MORICH,SEMARANG,JAWA TENGAH,50552,Indonesia,S ASIA,2211
PT NIKOMAS GEMILANG,FINISHED GOODS,FOOTWEAR,NIKE,POU CHEN,SERANG,BANTEN,42186,Indonesia,S ASIA,21411
PT PRATAMA ABADI INDUSTRI (TANGERANG SELATAN),FINISHED GOODS,FOOTWEAR,NIKE,PRATAMA,TANGERANG SELATAN,BANTEN,15325,Indonesia,S ASIA,6627
PT PRATAMA ABADI INDUSTRI (SUKABUMI),FINISHED GOODS,FOOTWEAR,NIKE,PRATAMA,SUKABUMI,JAWA BARAT,43191,Indonesia,S ASIA,21104
PT R PRIMA JAYA,FINISHED GOODS,APPAREL,NIKE,NO GROUP (AP),SEMARANG,,50117,Indonesia,S ASIA,667
PT SELALU CINTA INDONESIA,FINISHED GOODS,FOOTWEAR,NIKE,KMK,SALATIGA,JAWA TENGAH,50735,Indonesia,S ASIA,180
PT SEMARANG GARMENT,FINISHED GOODS,APPAREL,NIKE,KUKDONG,SEMARANG,,50552,Indonesia,S ASIA,3540
PT SHOETOWN KASOKANDEL INDONESIA,FINISHED GOODS - COMPONENTS,FOOTWEAR,NIKE,SHOETOWN,MAJALENGKA,,45453,Indonesia,S ASIA,2902
PT TRIGOLDENSTAR WISESA,FINISHED GOODS,APPAREL,NIKE,TRIGOLDENSTAR,KARAWANG,JAWA BARAT,41371,Indonesia,S ASIA,486
PT TUNTEX GARMENT INDONESIA-CKP,FINISHED GOODS,APPAREL,NIKE,TUNTEX,TANGERANG,BANTEN,15710,Indonesia,S ASIA,1382
PT TUNTEX GARMENT INDONESIA-TGR,FINISHED GOODS,APPAREL,NIKE,TUNTEX,TANGERANG,BANTEN,15112,Indonesia,S ASIA,1040
PT VICTORY CHINGLUH INDONESIA,FINISHED GOODS,FOOTWEAR,NIKE,CHINGLUH,TANGERANG,BANTEN,15560,Indonesia,S ASIA,13512
PT. CCH INDONESIA,FINISHED GOODS,APPAREL,NIKE,CHUAN CHENG,BANDUNG BARAT,JAWA BARAT,40552,Indonesia,S ASIA,1348
