Factory Name,Factory Type,Product Type,"Nike, Inc. Brand(s)",Supplier Group,City,State,Postal Code,Country/Region,Region,Total Workers
COOPERSHOES (MORADA NOVA),FINISHED GOODS,FOOTWEAR,Converse,COOPERSHOES,MORADA NOVA,CEARç,62940-000,Brazil,AMERICAS,2792
CORPORACION INDYKNIT S.A.,FINISHED GOODS,APPAREL,NIKE,INDIANA KNITWEAR,VILLA NUEVA,GUATEMALA,1064,Guatemala,AMERICAS,2337
DAEHWA LEATHER LESTARI,MATERIALS,MATERIALS,NIKE,DAEHWA,BEKASI,JAWA BARAT,17550,Indonesia,S ASIA,
DAH JENG EMBROIDERY,FINISHED GOODS,APPAREL,NIKE,NO GROUP (AP),NEW TAIPEI,NEW TAIPEI,247,Taiwan,N ASIA,97
"DAQIAN TEXTILE CAMBODIA CO., LTD",FINISHED GOODS,APPAREL,NIKE,NINGBO,PHNOM PENH,PHNOM PENH,12101,Cambodia,SE ASIA,5369
DASS ELDORADO SRL,FINISHED GOODS,FOOTWEAR,NIKE,DASS,ELDORADO,MISIONES,3380,Argentina,AMERICAS,1066
DASS NORDESTE CAL‚ADOS E ARTIGOS ESPORTIVOS LTDA (IVOTI),FINISHED GOODS,FOOTWEAR,NIKE,DASS,IVOTI,RIO GRANDE DO SUL,93900-000,Brazil,AMERICAS,39
DASS NORDESTE CALCADOS E ARTIGOS ESPORTIVOS LTDA (VITORIA DA CONQUISTA),FINISHED GOODS,APPAREL,NIKE,CLASSICO,VITORIA DA CONQUISTA,BAHIA,45023 -490,Brazil,AMERICAS,1871
DASS NORDESTE CALCADOS E ARTIGOS ESPORTIVOS LTDA (SANTO ESTEVAO),FINISHED GOODS,FOOTWEAR,NIKE,DASS,SANTO ESTEVAO,BAHIA,44190-000,Brazil,AMERICAS,2972
DASS NORDESTE CALCADOS E ARTIGOS ESPORTIVOS LTDA 2 (VITORIA DA CONQUISTA),FINISHED GOODS - COMPONENTS,FOOTWEAR,NIKE,DASS,VITORIA DA CONQUISTA,BAHIA,45023-490,Brazil,AMERICAS,2068
DASS SUL CALCADOS E ARTIGOS ESPORTIVOS LTDA,FINISHED GOODS,APPAREL,NIKE,CLASSICO,SAUDADES,SANTA CATARINA,89868-000,Brazil,AMERICAS,762
DEAN SHOES VIETNAM,FINISHED GOODS,FOOTWEAR,NIKE,DEAN SHOES,HO CHI MINH CITY,HO CHI MINH,70000,Vietnam,SE ASIA,14602
"DECOTEX INTERNATIONAL, LDTA DE C.V.",FINISHED GOODS,APPAREL,NIKE,TEGRA,CIUDAD ARCE,LA LIBERTAD,Zona 13,El Salvador,AMERICAS,1464
DELTA ALFA CORAP VE TEKSTIL SANAYI A.S.,FINISHED GOODS,EQUIPMENT,NIKE,DELTA,DUZCE,D†ZCE,,Turkey,EMEA,520
DELTA GALIL INDUSTRIES LTD EGYPT,FINISHED GOODS,APPAREL,NIKE,DELTA,EL-MINYA,AI MINUFIYAH,61784,Egypt,EMEA,1042
DELTA GALIL VIETNAM CO.LTD.,FINISHED GOODS,APPAREL,NIKE,DELTA,BINH DINH,BíNH _NH,82000,Vietnam,SE ASIA,1961
DELTA SOCKS LTD.,FINISHED GOODS,EQUIPMENT,NIKE,DELTA,KARMIEL,H_EFA,20100,Israel,EMEA,240
DELTA TEXTILE BULGARIA LTD.,FINISHED GOODS,EQUIPMENT,NIKE,DELTA,ROUSSE,RUSE,7009,Bulgaria,EMEA,487
DER WILL S.A.,FINISHED GOODS,APPAREL,NIKE,DER WILL,BUENOS AIRES,BUENOS AIRES,1614,Argentina,AMERICAS,143
DEWHIRST CAMBODIA,FINISHED GOODS,APPAREL,NIKE,DEWHIRST,PHNOM PENH,KANDAAL,,Cambodia,SE ASIA,2565
DIAMANT SRL,FINISHED GOODS,FOOTWEAR,NIKE,DIAMANT,SORGA,VERONA,37060,Italy,EMEA,313
DIAMANT SRL #2,FINISHED GOODS,FOOTWEAR,NIKE,DIAMANT,MONTEBELLUNA,VENETO,31044,Italy,EMEA,57
DOMINAE SRL,FINISHED GOODS,APPAREL,Converse,DOMINAE,DOSSON DI CASIER,TREVISO,31030,Italy,EMEA,14
